"","Child","PictureIdx","PicType","PicClass","image_url","age","MeanCOLORING"
"1","P89","image-5","type-O","class-M","P89_image-5_type-O_class-M.JPG",63,100
"2","P63","image-6","type-O","class-F","P63_image-6_type-O_class-F.JPG",67,98.6666666666667
"3","P33","image-1","type-I","class-H","P33_image-1_type-I_class-H.JPG",67,98.6
"4","P63","image-5","type-I","class-M","P63_image-5_type-I_class-M.JPG",67,97.6666666666667
"5","P93","image-2","type-I","class-C","P93_image-2_type-I_class-C.JPG",55,97.3333333333333
"6","P76","image-4","type-S","class-C","P76_image-4_type-S_class-C.JPG",35,96.8333333333333
"7","P33","image-4","type-O","class-M","P33_image-4_type-O_class-M.JPG",67,96.75
"8","P72","image-6","type-S","class-F","P72_image-6_type-S_class-F.JPG",50,95.8333333333333
"9","P105","image-3","type-S","class-H","P105_image-3_type-S_class-H.JPG",61,95.8
"10","P81","image-1","type-O","class-M","P81_image-1_type-O_class-M.JPG",59,95.3333333333333
"11","P63","image-3","type-S","class-C","P63_image-3_type-S_class-C.JPG",67,95.1666666666667
"12","P90","image-2","type-O","class-C","P90_image-2_type-O_class-C.JPG",66,95
"13","P93","image-1","type-O","class-H","P93_image-1_type-O_class-H.JPG",55,94.8571428571429
"14","P94","image-1","type-S","class-H","P94_image-1_type-S_class-H.JPG",63,93.6
"15","P59","image-5","type-O","class-C","P59_image-5_type-O_class-C.JPG",49,93.5
"16","P110","image-6","type-O","class-M","P110_image-6_type-O_class-M.JPG",88,93.2
"17","P19","image-3","type-O","class-H","P19_image-3_type-O_class-H.JPG",71,92.5
"18","P35","image-6","type-S","class-H","P35_image-6_type-S_class-H.JPG",61,92.2
"19","P35","image-3","type-O","class-M","P35_image-3_type-O_class-M.JPG",61,91.8
"20","P26","image-1","type-O","class-C","P26_image-1_type-O_class-C.JPG",56,91.4
"21","P74","image-5","type-O","class-C","P74_image-5_type-O_class-C.JPG",63,90.8571428571429
"22","P30","image-6","type-S","class-C","P30_image-6_type-S_class-C.JPG",89,90.6
"23","P63","image-4","type-O","class-C","P63_image-4_type-O_class-C.JPG",67,90.4
"24","P33","image-6","type-I","class-F","P33_image-6_type-I_class-F.JPG",67,90
"25","P73","image-2","type-O","class-M","P73_image-2_type-O_class-M.JPG",76,89.6666666666667
"26","P81","image-3","type-O","class-H","P81_image-3_type-O_class-H.JPG",59,89.625
"27","P30","image-4","type-I","class-H","P30_image-4_type-I_class-H.JPG",89,89.4
"28","P74","image-3","type-I","class-F","P74_image-3_type-I_class-F.JPG",63,89.25
"29","P72","image-5","type-O","class-F","P72_image-5_type-O_class-F.JPG",50,89
"30","P72","image-4","type-I","class-C","P72_image-4_type-I_class-C.JPG",50,88.75
"31","P99","image-1","type-O","class-C","P99_image-1_type-O_class-C.JPG",52,88.2857142857143
"32","P74","image-1","type-I","class-H","P74_image-1_type-I_class-H.JPG",63,88
"33","P35","image-1","type-I","class-C","P35_image-1_type-I_class-C.JPG",61,87.6666666666667
"34","P63","image-2","type-I","class-H","P63_image-2_type-I_class-H.JPG",67,87.6666666666667
"35","P61","image-5","type-I","class-C","P61_image-5_type-I_class-C.JPG",57,87.5
"36","P93","image-5","type-O","class-M","P93_image-5_type-O_class-M.JPG",55,87.5
"37","P74","image-6","type-O","class-M","P74_image-6_type-O_class-M.JPG",63,87.4285714285714
"38","P89","image-1","type-I","class-C","P89_image-1_type-I_class-C.JPG",63,87.3333333333333
"39","P42","image-3","type-S","class-H","P42_image-3_type-S_class-H.JPG",51,86.8
"40","P72","image-2","type-S","class-C","P72_image-2_type-S_class-C.JPG",50,86.6
"41","P94","image-4","type-S","class-M","P94_image-4_type-S_class-M.JPG",63,86.2
"42","P36","image-5","type-O","class-H","P36_image-5_type-O_class-H.JPG",52,86
"43","P94","image-2","type-I","class-H","P94_image-2_type-I_class-H.JPG",63,85.1428571428571
"44","P58","image-5","type-O","class-M","P58_image-5_type-O_class-M.JPG",99,84.8333333333333
"45","P55","image-3","type-S","class-M","P55_image-3_type-S_class-M.JPG",49,84.75
"46","P83","image-3","type-S","class-C","P83_image-3_type-S_class-C.JPG",74,84.4
"47","P42","image-1","type-O","class-M","P42_image-1_type-O_class-M.JPG",51,83
"48","P76","image-6","type-S","class-F","P76_image-6_type-S_class-F.JPG",35,83
"49","P55","image-4","type-O","class-M","P55_image-4_type-O_class-M.JPG",49,82.5
"50","P81","image-4","type-S","class-H","P81_image-4_type-S_class-H.JPG",59,82.4285714285714
"51","P18","image-4","type-I","class-M","P18_image-4_type-I_class-M.JPG",53,82
"52","P24","image-2","type-S","class-H","P24_image-2_type-S_class-H.JPG",65,82
"53","P30","image-3","type-S","class-M","P30_image-3_type-S_class-M.JPG",89,82
"54","P30","image-1","type-O","class-C","P30_image-1_type-O_class-C.JPG",89,81.8333333333333
"55","P66","image-6","type-I","class-H","P66_image-6_type-I_class-H.JPG",83,81.6666666666667
"56","P30","image-5","type-O","class-F","P30_image-5_type-O_class-F.JPG",89,81.5
"57","P30","image-2","type-I","class-M","P30_image-2_type-I_class-M.JPG",89,80.75
"58","P89","image-4","type-S","class-H","P89_image-4_type-S_class-H.JPG",63,80.7142857142857
"59","P81","image-5","type-I","class-C","P81_image-5_type-I_class-C.JPG",59,80.5
"60","P63","image-1","type-S","class-M","P63_image-1_type-S_class-M.JPG",67,79.6666666666667
"61","P61","image-6","type-O","class-H","P61_image-6_type-O_class-H.JPG",57,79.4
"62","P27","image-1","type-O","class-H","P27_image-1_type-O_class-H.JPG",55,79.25
"63","P33","image-5","type-S","class-H","P33_image-5_type-S_class-H.JPG",67,79.1666666666667
"64","P43","image-2","type-O","class-M","P43_image-2_type-O_class-M.JPG",61,79.1666666666667
"65","P18","image-5","type-I","class-H","P18_image-5_type-I_class-H.JPG",53,78
"66","P89","image-2","type-S","class-F","P89_image-2_type-S_class-F.JPG",63,77.8333333333333
"67","P45","image-5","type-I","class-M","P45_image-5_type-I_class-M.JPG",36,77.6
"68","P59","image-4","type-S","class-M","P59_image-4_type-S_class-M.JPG",49,77.4
"69","P85","image-2","type-I","class-C","P85_image-2_type-I_class-C.JPG",80,77.3333333333333
"70","P89","image-3","type-O","class-H","P89_image-3_type-O_class-H.JPG",63,76.2857142857143
"71","P74","image-4","type-S","class-H","P74_image-4_type-S_class-H.JPG",63,75.8
"72","P74","image-2","type-S","class-M","P74_image-2_type-S_class-M.JPG",63,75
"73","P35","image-5","type-S","class-F","P35_image-5_type-S_class-F.JPG",61,74.6
"74","P64","image-4","type-I","class-C","P64_image-4_type-I_class-C.JPG",48,74.5714285714286
"75","P73","image-3","type-I","class-C","P73_image-3_type-I_class-C.JPG",76,74.4
"76","P35","image-4","type-O","class-H","P35_image-4_type-O_class-H.JPG",61,74.2
"77","P55","image-1","type-O","class-C","P55_image-1_type-O_class-C.JPG",49,74.2
"78","P76","image-5","type-O","class-F","P76_image-5_type-O_class-F.JPG",35,73.7142857142857
"79","P36","image-3","type-I","class-C","P36_image-3_type-I_class-C.JPG",52,73
"80","P76","image-2","type-I","class-C","P76_image-2_type-I_class-C.JPG",35,72.8333333333333
"81","P93","image-4","type-S","class-F","P93_image-4_type-S_class-F.JPG",55,72.8333333333333
"82","P76","image-1","type-O","class-H","P76_image-1_type-O_class-H.JPG",35,72.2857142857143
"83","P68","image-2","type-S","class-C","P68_image-2_type-S_class-C.JPG",70,72.1666666666667
"84","P42","image-2","type-I","class-C","P42_image-2_type-I_class-C.JPG",51,72
"85","P17","image-3","type-I","class-H","P17_image-3_type-I_class-H.JPG",67,71.8
"86","P53","image-4","type-O","class-F","P53_image-4_type-O_class-F.JPG",35,71.8
"87","P59","image-6","type-S","class-C","P59_image-6_type-S_class-C.JPG",49,71.6666666666667
"88","P27","image-3","type-S","class-C","P27_image-3_type-S_class-C.JPG",55,71.5
"89","P26","image-5","type-O","class-F","P26_image-5_type-O_class-F.JPG",56,71.1666666666667
"90","P76","image-3","type-I","class-M","P76_image-3_type-I_class-M.JPG",35,70.75
"91","P26","image-4","type-I","class-M","P26_image-4_type-I_class-M.JPG",56,70.6
"92","P45","image-2","type-I","class-C","P45_image-2_type-I_class-C.JPG",36,70.4
"93","P24","image-6","type-O","class-M","P24_image-6_type-O_class-M.JPG",65,70.2
